"diceImage"	"d_number"	"dice_loop.thisRepN"	"dice_loop.thisTrialN"	"dice_loop.thisN"	"dice_loop.thisIndex"	"thisRow.t"	"notes"	"Start.started"	"text_start.started"	"continue_start.started"	"mouse_start.started"	"Start.stopped"	"mouse_start.x"	"mouse_start.y"	"mouse_start.leftButton"	"mouse_start.midButton"	"mouse_start.rightButton"	"mouse_start.time"	"trial.started"	"box_dice.started"	"text_dice_header.started"	"text_gain.started"	"value_gain.started"	"text_bank.started"	"value_bank.started"	"img_dice_1.started"	"img_dice_2.started"	"img_dice_3.started"	"img_dice_4.started"	"img_dice_5.started"	"img_dice_6.started"	"img_dice_1_2.started"	"img_dice_3_4.started"	"img_dice_5_6.started"	"img_dice_1_2_3.started"	"img_dice_4_5_6.started"	"img_dice_1_2_3_4.started"	"img_dice_2_3_4_5.started"	"img_dice_3_4_5_6.started"	"text_value_header.started"	"text_value_1000.started"	"text_value_500.started"	"text_value_200.started"	"text_value_100.started"	"mouse_task.started"	"gain_sound.started"	"img_dice_throw_trials.started"	"gain_sound.stopped"	"img_dice_throw_trials.stopped"	"trial.stopped"	"mouse_task.x"	"mouse_task.y"	"mouse_task.leftButton"	"mouse_task.midButton"	"mouse_task.rightButton"	"mouse_task.time"	"choice"	"gain"	"loss_sound.started"	"End.started"	"text_end.started"	"key_end.started"	"End.stopped"	"key_end.keys"	"key_end.rt"	"key_end.duration"	"participant"	"session"	"date"	"expName"	"psychopyVersion"	"frameRate"	"expStart"	"...75"
NA	NA	NA	NA	NA	NA	NA	NA	0.0435065999627113	0.0545888002961874	0.0545888002961874	0.0438648001290858	29.2738700001501	"[0.6796296296296296]"	"[-0.41759259259259257]"	"[1]"	"[0]"	"[0]"	"[29.22942809993401]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_4.png"	4	0	0	0	3	29.3566069002263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.2805110001937	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	29.3566069002263	0.0244036000221968	4.61634139996022	33.9652643003501	6.1166357002221	35.5320431999862	35.4844225002453	"[-0.09722222222222222, -0.09722222222222222]"	"[-0.25277777777777777, -0.25277777777777777]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[3.9025926999747753, 4.560969400219619]"	3	200	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_5.png"	5	0	1	1	4	35.5320431999862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.4852182003669	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	35.5320431999862	0.0175819001160562	NA	40.2573343003169	NA	41.807590899989	41.7598951002583	"[-0.22592592592592592, -0.22592592592592592]"	"[-0.1527777777777778, -0.1527777777777778]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[4.162800699938089, 4.679459699895233]"	2	-500	4.69728059973568	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_3.png"	3	0	2	2	2	41.807590899989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.7604233003221	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	41.807590899989	0.0176197001710534	NA	43.0992136001587	NA	44.6744524003007	44.6265162001364	"[-0.1648148148148148, -0.1648148148148148, -0.37962962962962965]"	"[-0.046296296296296294, -0.046296296296296294, -0.25555555555555554]"	"[1, 0, 1]"	"[0, 0, 0]"	"[0, 1, 0]"	"[0.7293596002273262, 1.2380560003221035, 2.6296006999909878]"	3	-1000	1.25567390024662	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_6.png"	6	0	3	3	5	44.6744524003007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.6271014004014	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	44.6744524003007	0.018974700011313	NA	45.8578489003703	NA	47.4079542001709	47.3609899999574	"[-0.37962962962962965, -0.37962962962962965, -0.37962962962962965]"	"[-0.2518518518518518, -0.2518518518518518, -0.2518518518518518]"	"[1, 0, 1]"	"[0, 0, 0]"	"[0, 1, 0]"	"[0.5783977000974119, 1.1450157002545893, 2.703620200045407]"	3	-200	1.16408629994839	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_2.png"	2	0	4	4	1	47.4079542001709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.3615743000992	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	47.4079542001709	0.0173275996930897	0.638166799675673	48.0745471999981	2.14660999970511	49.6496550999582	49.6104719000868	"[-0.37962962962962965]"	"[-0.2518518518518518]"	"[0]"	"[0]"	"[1]"	"[0.6205879002809525]"	3	200	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_1.png"	1	0	5	5	0	49.6496550999582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.6110455002636	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	49.6496550999582	0.0146420001983642	NA	51.5249312003143	NA	53.091682900209	53.0440139002167	"[-0.32037037037037036, -0.32037037037037036]"	"[-0.3490740740740741, -0.3490740740740741]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.3237522998824716, 1.8322715000249445]"	4	-100	1.84719720017165	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_5.png"	5	1	0	6	4	53.091682900209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.0445920000784	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	53.091682900209	0.0177184999920428	1.67220669984818	54.7833170001395	3.18072459986433	56.3250862001441	56.285876700189	"[0.013888888888888888, 0.013888888888888888]"	"[-0.3472222222222222, -0.3472222222222222]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.0458961999975145, 1.6542317997664213]"	4	100	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_6.png"	6	1	1	7	5	56.3250862001441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.2864031000063	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	56.3250862001441	0.0148491002619266	3.66407840000466	60.0253675002605	5.16421340033412	61.5921383001842	61.5529040000401	"[-0.03148148148148148, -0.03148148148148148]"	"[-0.25, -0.25]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[3.0989747997373343, 3.648859499953687]"	3	200	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_1.png"	1	1	2	8	0	61.5921383001842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.5534810000099	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	61.5921383001842	0.0148442997597158	NA	65.4425054001622	NA	66.9926046002656	66.9531208002008	"[-0.025925925925925925, -0.025925925925925925]"	"[-0.2490740740740741, -0.2490740740740741]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[3.2658724999055266, 3.8073283000849187]"	3	-200	3.82238029967993	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_3.png"	3	1	3	9	2	66.9926046002656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.9536701999605	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	66.9926046002656	0.0142890000715852	NA	68.4175796001218	NA	69.9843524000607	69.9453756003641	"[-0.06851851851851852, -0.06851851851851852, -0.19537037037037036]"	"[-0.2564814814814815, -0.2564814814814815, -0.33425925925925926]"	"[1, 0, 1]"	"[0, 0, 0]"	"[0, 1, 0]"	"[0.8079124996438622, 1.3828757996670902, 2.84993869997561]"	3	-200	1.397383000236	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_2.png"	2	1	4	10	1	69.9843524000607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.9459114000201	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	69.9843524000607	0.0154522000811994	0.521999900229275	70.5427343002521	2.03876150026917	72.0844917003997	72.0452677002177	"[-0.19537037037037036]"	"[-0.3333333333333333]"	"[0]"	"[0]"	"[1]"	"[0.5063501000404358]"	4	100	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_4.png"	4	1	5	11	3	72.0844917003997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.0458190999925	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	72.0844917003997	0.0146085000596941	1.11393859982491	73.2262468002737	2.63084529992193	74.7763430001214	74.7372659002431	"[-0.5898148148148148, -0.5861111111111111]"	"[-0.3416666666666667, -0.3388888888888889]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.47401059977710247, 1.0994158000685275]"	4	100	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_6.png"	6	2	0	12	5	74.7763430001214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.7378116003238	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	74.7763430001214	0.0148427002131939	1.8888530000113	76.7098069000058	3.40562999993563	78.2515990003012	78.2127297003753	"[0.05277777777777778, 0.05277777777777778]"	"[-0.35555555555555557, -0.35555555555555557]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.3902226001955569, 1.8738481001928449]"	4	100	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_4.png"	4	2	1	13	3	78.2515990003012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.2133006001823	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	78.2515990003012	0.0165184997022152	1.41367199970409	79.6933365999721	2.93046089960262	81.2517808000557	81.2126188003458	"[-0.2037037037037037, -0.2037037037037037]"	"[-0.3472222222222222, -0.3472222222222222]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.888302500359714, 1.3969428003765643]"	4	100	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_5.png"	5	2	2	14	4	81.2517808000557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.2131923004054	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	81.2517808000557	0.0147744999267161	1.94719809992239	83.2269296003506	3.44734789989889	84.7938139000908	84.7542510000058	"[-0.003703703703703704, -0.003703703703703704]"	"[-0.32222222222222224, -0.32222222222222224]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.415569799952209, 1.9321848996914923]"	4	100	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_3.png"	3	2	3	15	2	84.7938139000908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84.7549034999683	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	84.7938139000908	0.0142501001246274	2.18906450038776	87.01885400014	3.70601310022175	88.560614600312	88.5211925003678	"[-0.44351851851851853, -0.44351851851851853]"	"[-0.2388888888888889, -0.2388888888888889]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[1.683128799777478, 2.174589999951422]"	3	200	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_1.png"	1	2	4	16	0	88.560614600312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.5218385001644	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	88.560614600312	0.0171175999566913	1.52234430005774	90.110739200376	3.039184700232	91.66083670035	91.6216849000193	"[-0.5935185185185186, -0.5935185185185186]"	"[-0.32685185185185184, -0.325]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.9801709000021219, 1.5051531000062823]"	4	100	NA	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
"dice_2.png"	2	2	5	17	1	91.66083670035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.6222640001215	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	91.66083670035	0.0149856000207365	NA	93.0859346999787	NA	94.6277310000732	94.6136792004108	"[-0.14537037037037037, -0.14537037037037037]"	"[-0.262037037037037, -0.262037037037037]"	"[1, 0]"	"[0, 0]"	"[0, 1]"	"[0.7320941998623312, 1.3820759998634458]"	3	-200	1.39712540013716	NA	NA	NA	NA	NA	NA	NA	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.6141543001868	94.6277310000732	94.6277310000732	103.462027300149	"space"	8.82795269973576	"None"	"04"	"02"	"2024-01-31_13h53.39.875"	"GDT_exp"	"2023.2.3"	119.965929304922	"2024-01-31 13h53.51.746399 +0100"	NA
